Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Marth;16061069;Hanstein-Rusteberg;160615008.0
Niederorschel;16061074;Niederorschel;160610074.0
Pfaffschwende;16061075;Ershausen/Geismar;160615014.0
Reinholterode;16061076;Leinetal;160615009.0
Röhrig;16061077;Uder;160615012.0
Rohrberg;16061078;Hanstein-Rusteberg;160615008.0
Rustenfelde;16061082;Hanstein-Rusteberg;160615008.0
Schachtebich;16061083;Hanstein-Rusteberg;160615008.0
Schönhagen;16061084;Uder;160615012.0
Schwobfeld;16061085;Ershausen/Geismar;160615014.0
Sickerode;16061086;Ershausen/Geismar;160615014.0
Steinbach;16061089;Leinetal;160615009.0
Steinheuterode;16061091;Uder;160615012.0
Tastungen;16061094;Lindenberg/Eichsfeld;160615001.0
Thalwenden;16061096;Uder;160615012.0
Uder;16061097;Uder;160615012.0
Volkerode;16061098;Ershausen/Geismar;160615014.0
Wachstedt;16061101;Westerwald-Obereichsfeld;160615013.0
Wahlhausen;16061102;Hanstein-Rusteberg;160615008.0
Wehnde;16061103;Lindenberg/Eichsfeld;160615001.0
Wiesenfeld;16061105;Ershausen/Geismar;160615014.0
Wingerode;16061107;Leinetal;160615009.0
Wüstheuterode;16061111;Uder;160615012.0
Schimberg;16061113;Ershausen/Geismar;160615014.0
Teistungen;16061114;Lindenberg/Eichsfeld;160615001.0
Leinefelde-Worbis, Stadt;16061115;Leinefelde-Worbis, Stadt;160610115.0
Am Ohmberg;16061116;Am Ohmberg;160610116.0
Sonnenstein;16061117;Sonnenstein;160610117.0
Dingelstädt, Stadt;16061118;Dingelstädt, Stadt;160610118.0
Ellrich, Stadt;16062005;Ellrich, Stadt;160620005.0
Görsbach;16062008;Heringen/Helme, Stadt;160625053.0
Großlohra;16062009;Bleicherode, Stadt;160625054.0
Kehmstedt;16062024;Bleicherode, Stadt;160625054.0
Kleinfurra;16062026;Bleicherode, Stadt;160625054.0
Lipprechterode;16062033;Bleicherode, Stadt;160625054.0
Niedergebra;16062037;Bleicherode, Stadt;160625054.0
Nordhausen, Stadt;16062041;Nordhausen, Stadt;160620041.0
Sollstedt;16062049;Sollstedt;160620049.0
Urbach;16062054;Heringen/Helme, Stadt;160625053.0
Hohenstein;16062062;Hohenstein;160620062.0
Werther;16062063;Werther;160620063.0
Heringen/Helme, Stadt;16062064;Heringen/Helme, Stadt;160625053.0
Harztor;16062065;Harztor;160620065.0
Bleicherode, Stadt;16062066;Bleicherode, Stadt;160625054.0
Bad Salzungen, Stadt;16063003;Bad Salzungen, Stadt;160635051.0
Barchfeld-Immelborn;16063004;Barchfeld-Immelborn;160630004.0
Berka v. d. Hainich;16063006;Hainich-Werratal;160635006.0
Bischofroda;16063008;Hainich-Werratal;160635006.0
Buttlar;16063011;Geisa, Stadt;160635056.0
Dermbach;16063015;Dermbach;160635059.0
Empfertshausen;16063023;Dermbach;160635059.0
Frankenroda;16063028;Hainich-Werratal;160635006.0
Geisa, Stadt;16063032;Geisa, Stadt;160635056.0
Gerstengrund;16063033;Geisa, Stadt;160635056.0
Hallungen;16063037;Hainich-Werratal;160635006.0
Krauthausen;16063046;Hainich-Werratal;160635006.0
Lauterbach;16063049;Hainich-Werratal;160635006.0
Leimbach;16063051;Bad Salzungen, Stadt;160635051.0
Nazza;16063058;Hainich-Werratal;160635006.0
Oechsen;16063062;Dermbach;160635059.0
Ruhla, Stadt;16063066;Ruhla, Stadt;160635057.0
Schleid;16063068;Geisa, Stadt;160635056.0
Seebach;16063071;Ruhla, Stadt;160635057.0
Treffurt, Stadt;16063076;Treffurt, Stadt;160630076.0
Unterbreizbach;16063078;Unterbreizbach;160630078.0
Vacha, Stadt;16063082;Vacha, Stadt;160630082.0
Weilar;16063084;Dermbach;160635059.0
Wiesenthal;16063086;Dermbach;160635059.0
Wutha-Farnroda;16063092;Wutha-Farnroda;160630092.0
Moorgrund;16063094;Moorgrund;160630094.0
Gerstungen;16063097;Gerstungen;160630097.0
Hörselberg-Hainich;16063098;Hörselberg-Hainich;160630098.0
Bad Liebenstein, Stadt;16063099;Bad Liebenstein, Stadt;160630099.0
Krayenberggemeinde;16063101;Krayenberggemeinde;160630101.0
Werra-Suhl-Tal, Stadt;16063103;Werra-Suhl-Tal, Stadt;160630103.0
Amt Creuzburg, Stadt;16063104;Hainich-Werratal;160635006.0
Bad Langensalza, Stadt;16064003;Bad Langensalza, Stadt;160640003.0
Bad Tennstedt, Stadt;16064004;Bad Tennstedt;160645001.0
Ballhausen;16064005;Bad Tennstedt;160645001.0
Blankenburg;16064007;Bad Tennstedt;160645001.0
Bruchstedt;16064009;Bad Tennstedt;160645001.0
Dünwald;16064014;Dünwald;160640014.0
Großvargula;16064019;Herbsleben;160645051.0
Haussömmern;16064021;Bad Tennstedt;160645001.0
Herbsleben;16064022;Herbsleben;160645051.0
Hornsömmern;16064027;Bad Tennstedt;160645001.0
Kammerforst;16064032;Vogtei;160645053.0
Kirchheilingen;16064033;Bad Tennstedt;160645001.0
Körner;16064037;Notterthal-Heilinger Höhen, Stadt;160645055.0
Kutzleben;16064038;Bad Tennstedt;160645001.0
Marolterode;16064043;Notterthal-Heilinger Höhen, Stadt;160645055.0
Mittelsömmern;16064045;Bad Tennstedt;160645001.0
Mühlhausen/Thüringen, Stadt;16064046;Mühlhausen/Thüringen, Stadt;160640046.0
Oppershausen;16064053;Vogtei;160645053.0
